q EQ,i EQ,q ME,i ME
2.631511,0.000000,2.631511,7.737519
2.637136,0.000000,2.637136,8.409830
2.642761,0.000000,2.642761,7.097083
2.648387,0.000000,2.648387,6.194127
2.654012,0.000000,2.654012,6.157741
2.659637,0.000000,2.659637,7.689448
2.665262,0.000000,2.665262,7.866421
2.670887,0.000000,2.670887,8.558694
2.676512,0.000000,2.676512,8.152619
2.682137,0.000000,2.682137,7.136435
2.687762,0.000000,2.687762,6.172246
2.693387,0.000000,2.693387,6.608250
2.699012,0.000000,2.699012,7.310863
2.704638,0.000000,2.704638,6.175588
2.710263,0.000000,2.710263,5.585362
2.715888,0.000000,2.715888,6.149845
2.721513,0.000000,2.721513,6.042288
2.727138,0.000000,2.727138,6.457724
2.732763,0.000000,2.732763,7.925598
2.738388,0.000000,2.738388,8.137789
2.744013,0.000000,2.744013,7.513934
2.749638,0.000000,2.749638,7.005552
2.755264,0.000000,2.755264,7.153131
2.760889,0.000000,2.760889,7.020945
2.766514,0.000000,2.766514,6.609868
2.772139,0.000000,2.772139,6.702408
2.777764,0.000000,2.777764,6.579869
2.783389,0.000000,2.783389,7.044089
2.789014,0.000000,2.789014,8.034912
2.794639,0.000000,2.794639,7.342031
2.800264,0.000000,2.800264,6.868963
2.805890,0.000000,2.805890,6.857483
2.811515,0.000000,2.811515,6.835570
2.817140,0.000000,2.817140,7.920423
2.822765,0.000000,2.822765,7.105544
2.828390,0.000000,2.828390,6.889303
2.834015,0.000000,2.834015,6.746231
2.839640,0.000000,2.839640,7.680469
2.845265,0.000000,2.845265,8.099426
2.850890,0.000000,2.850890,7.350808
2.856516,0.000000,2.856516,6.445774
2.862141,0.000000,2.862141,6.044208
2.867766,0.000000,2.867766,7.003380
2.873391,0.000000,2.873391,8.874556
2.879016,0.000000,2.879016,7.302088
2.884641,0.000000,2.884641,5.387013
2.890266,0.000000,2.890266,6.251469
2.895891,0.000000,2.895891,7.332396
2.901516,0.000000,2.901516,7.170348
2.907141,0.000000,2.907141,7.090179
2.912767,0.000000,2.912767,6.586208
2.918392,0.000000,2.918392,6.215403
2.924017,0.000000,2.924017,6.294704
2.929642,0.000000,2.929642,6.172850
2.935267,0.000000,2.935267,6.791305
2.940892,0.000000,2.940892,7.316097
2.946517,0.000000,2.946517,7.101660
2.952142,0.000000,2.952142,6.539807
2.957767,0.000000,2.957767,6.489640
2.963393,0.000000,2.963393,7.312612
2.969018,0.000000,2.969018,7.310694
2.974643,0.000000,2.974643,7.940921
2.980268,0.000000,2.980268,7.836624
2.985893,0.000000,2.985893,8.457231
2.991518,0.000000,2.991518,7.376925
2.997143,0.000000,2.997143,6.868498
3.002768,0.000000,3.002768,7.220589
3.008393,0.000000,3.008393,7.691772
3.014019,0.000000,3.014019,6.995972
3.019644,0.000000,3.019644,6.783378
3.025269,0.000000,3.025269,7.450521
3.030894,0.000000,3.030894,7.640427
3.036519,0.000000,3.036519,8.032055
3.042144,0.000000,3.042144,8.221701
3.047769,0.000000,3.047769,8.069650
3.053394,0.000000,3.053394,7.149902
3.059019,0.000000,3.059019,7.421309
3.064644,0.000000,3.064644,8.581028
3.070270,0.000000,3.070270,10.257904
3.075895,0.000000,3.075895,10.178101
3.081520,0.000000,3.081520,9.302094
3.087145,0.000000,3.087145,10.678984
3.092770,0.000000,3.092770,11.422300
3.098395,0.000000,3.098395,10.119406
3.104020,0.000000,3.104020,9.726618
3.109645,0.000000,3.109645,10.070088
3.115270,0.000000,3.115270,9.385899
3.120896,0.000000,3.120896,8.587768
3.126521,0.000000,3.126521,7.635831
3.132146,0.000000,3.132146,7.784939
3.137771,0.000000,3.137771,7.529251
3.143396,0.000000,3.143396,6.734529
3.149021,0.000000,3.149021,7.212723
3.154646,0.000000,3.154646,8.284737
3.160271,0.000000,3.160271,7.899290
3.165896,0.000000,3.165896,8.201937
3.171522,0.000000,3.171522,6.561033
3.177147,0.000000,3.177147,6.452509
3.182772,0.000000,3.182772,7.117435
3.188397,0.000000,3.188397,6.256175
3.194022,0.000000,3.194022,6.512902
3.199647,0.000000,3.199647,7.006886
3.205272,0.000000,3.205272,7.294852
3.210897,0.000000,3.210897,7.101492
3.216522,0.000000,3.216522,6.369881
3.222148,0.000000,3.222148,6.775845
3.227773,0.000000,3.227773,6.948214
3.233398,0.000000,3.233398,6.574853
3.239023,0.000000,3.239023,6.867136
3.244648,0.000000,3.244648,7.286307
3.250273,0.000000,3.250273,7.351027
3.255898,0.000000,3.255898,6.960099
3.261523,0.000000,3.261523,6.922998
3.267148,0.000000,3.267148,7.100135
3.272773,0.000000,3.272773,7.986909
3.278399,0.000000,3.278399,8.503105
3.284024,0.000000,3.284024,7.083815
3.289649,0.000000,3.289649,6.805185
3.295274,0.000000,3.295274,8.060664
3.300899,0.000000,3.300899,7.901254
3.306524,0.000000,3.306524,7.138135
3.312149,0.000000,3.312149,7.174296
3.317774,0.000000,3.317774,6.960440
3.323399,0.000000,3.323399,7.188062
3.329025,0.000000,3.329025,7.226015
3.334650,0.000000,3.334650,6.612341
3.340275,0.000000,3.340275,7.080049
3.345900,0.000000,3.345900,7.162921
3.351525,0.000000,3.351525,6.589686
3.357150,0.000000,3.357150,6.916037
3.362775,0.000000,3.362775,7.146885
3.368400,0.000000,3.368400,6.793250
3.374025,0.000000,3.374025,6.624609
3.379651,0.000000,3.379651,6.880778
3.385276,0.000000,3.385276,6.466031
3.390901,0.000000,3.390901,5.561184
3.396526,0.000000,3.396526,6.582975
3.402151,0.000000,3.402151,6.992873
3.407776,0.000000,3.407776,6.834204
3.413401,0.000000,3.413401,6.281749
3.419026,0.000000,3.419026,7.112415
3.424651,0.000000,3.424651,6.493369
3.430276,0.000000,3.430276,6.301410
3.435902,0.000000,3.435902,6.940916
3.441527,0.000000,3.441527,6.016134
3.447152,0.000000,3.447152,5.371672
3.452777,0.000000,3.452777,6.547619
3.458402,0.000000,3.458402,7.166281
3.464027,0.000000,3.464027,7.079823
3.469652,0.000000,3.469652,6.263094
3.475277,0.000000,3.475277,5.921262
3.480902,0.000000,3.480902,5.880537
3.486528,0.000000,3.486528,6.962033
3.492153,0.000000,3.492153,6.879619
3.497778,0.000000,3.497778,6.545712
3.503403,0.000000,3.503403,8.375950
3.509028,0.000000,3.509028,8.254045
3.514653,0.000000,3.514653,6.803043
3.520278,0.000000,3.520278,5.656288
3.525903,0.000000,3.525903,5.543988
3.531528,0.000000,3.531528,5.383734
3.537154,0.000000,3.537154,5.648595
3.542779,0.000000,3.542779,5.970611
3.548404,0.000000,3.548404,6.270588
